Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
195,SILK,Healthcare,Medical Devices,NASDAQ,143.54,96,94,85,45
196,CTIC,Healthcare,Biotechnology,NASDAQ,143.52,96,99,98,99
197,TKC,Communication Services,Telecom Services,NYSE,143.43,96,97,74,29
198,ABMD,Healthcare,Medical Devices,NASDAQ,143.42,96,95,50,35
199,FICO,Technology,Software—Application,NYSE,143.39,96,96,87,57
200,BIIB,Healthcare,Drug Manufacturers—General,NASDAQ,143.36,96,95,49,51
201,YI,Healthcare,Pharmaceutical Retailers,NASDAQ,143.26,96,87,88,12
202,ONCY,Healthcare,Biotechnology,NASDAQ,142.93,96,89,67,17
203,WING,Consumer Cyclical,Restaurants,NASDAQ,142.16,96,96,94,18
204,ERIE,Financial Services,Insurance Brokers,NASDAQ,142.13,96,95,93,77
205,RCKT,Healthcare,Biotechnology,NASDAQ,141.91,96,91,42,18
206,RAIN,Healthcare,Biotechnology,NASDAQ,141.58,96,90,96,2
207,CEPU,Utilities,Utilities—Regulated Electric,NYSE,141.5,96,95,96,88
208,PAYA,Technology,Software—Infrastructure,NASDAQ,141.35,96,96,50,66
209,OPNT,Healthcare,Biotechnology,NASDAQ,141.29,96,13,14,16
210,POSH,Consumer Cyclical,Internet Retail,NASDAQ,141.04,96,93,68,23
211,HRMY,Healthcare,Biotechnology,NASDAQ,141.01,96,96,77,96
212,SMTI,Healthcare,Medical Care Facilities,NASDAQ,140.95,96,96,94,30
213,MRSN,Healthcare,Biotechnology,NASDAQ,140.68,96,96,98,41
214,HLIT,Technology,Communication Equipment,NASDAQ,140.63,96,95,94,67
215,DCPH,Healthcare,Biotechnology,NASDAQ,140.59,96,97,98,75
216,PACB,Healthcare,Diagnostics & Research,NASDAQ,140.47,96,89,26,4
217,GMAB,Healthcare,Biotechnology,NASDAQ,140.24,96,91,82,44
218,ARRY,Technology,Solar,NASDAQ,140.24,96,98,92,52
219,SCPH,Healthcare,Biotechnology,NASDAQ,140.2,96,91,48,45
220,DWSN,Energy,Oil & Gas Equipment & Services,NASDAQ,140.13,96,89,33,26
221,AAMC,Financial Services,Asset Management,NYSE MKT,140.12,96,90,96,29
